mot,occurrence
a,8155
ai,6656
na,6155
e,3982
nyè,3714
ndò,3377
ya,3044
bò,2408
mod,1831
asu,1693
bod,1690
anë,1679
mina,1625
zamba,1545
ki,1529
fë,1455
ma,1362
amu,1230
yesus,1144
abë,1068
ngë,1022
dzam,986
yë,962
hm,948
te,916
të,828
si,795
hë,704
nti,691
nyò,689
bia,649
wa,637
mam,632
eyòṅ,623
ayi,587
tò,579
nala,578
kristus,572
yob,570
nyòl,552
abui,542
bë,518
mbol,500
më,492
tègè,474
da,470
bësë,466
nda,460
ziṅ,460
ete,451
woe,449
man,422
nsisim,417
bi,392
nnëm,386
ngul,384
dzi,382
ba,382
angabë,380
adzo,373
esë,372
mòn,365
dzoe,359
osë,347
mbòg,345
mayi,340
dzie,339
ha,338
enyiṅ,337
abog,335
bayi,327
abò,325
ṅyëbë,323
hala,319
onë,318
dzom,316
sòṅ,315
enë,314
waan,308
amos,296
mvende,292
ṅnyè,290
bënë,289
ngò,284
osu,284
dze,280
mò,274
di,273
etoa,273
mbëṅ,251
fò,250
abëlë,249
akyaè,248
së,248
bëyègè,248
boe,247
bëngabë,241
mis,241
mënë,241
mininga,239
mi,235
yen,233
ebug,232
paulus,232
esye,229
mbëmbë,227
die,222
atoa,222
nnam,220
edzoe,220
bëbëla,217
dò,216
kan,216
dzò,216
yuden,216
etye,212
esya,209
akë,206
mësë,205
mvus,202
miayi,200
bòn,193
hom,191
zaṅ,189
kui,188
nyi,188
ndon,185
akui,184
wama,184
duma,183
ban,177
foe,177
petrus,176
makad,174
mvoè,174
tara,173
za,168
mbò,166
emen,166
awu,164
azu,163
zen,159
mfufub,158
kòm,157
akëlë,156
binë,156
yerusalem,155
kë,152
ntilan,152
nga,150
bëvòg,150
yohannes,149
babëdzaṅ,149
olugu,148
minë,148
sosoo,147
wayi,146
wò,145
etòm,143
bëbè,142
vë,142
mëlu,141
nlo,140
maa,140
bidi,139
byem,138
tisòn,138
babi,137
ediṅ,135
ntol,132
yëm,132
mbë,131
wog,131
awom,129
nkòbò,126
abe,126
tempel,125
minsëm,124
nsëm,123
dzaan,123
asë,123
asò,123
sò,123
nkukuma,122
nsëṅ,121
afidi,121
kiṅ,119
anyu,116
ayen,116
mfag,115
moe,115
asëki,115
mòni,115
eyë,112
daan,112
nkunda,112
bisye,111
mëkol,110
fëg,109
ndoan,109
alodo,109
bëzimbi,106
mëki,105
amana,104
andzëki,104
nkat,104
maṅ,104
bëhaiden,104
minnëm,103
bakë,103
dama,103
mëte,102
dzama,102
bisë,102
tsit,101
mëndim,101
mfë,101
avë,100
bëben,100
mintag,100
lë,99
etam,99
apostel,99
antoa,98
yayi,98
mintye,98
kad,97
ṅyian,97
mimboan,97
mënda,96
adugan,96
zamgbal,96
fufulu,96
mfaṅ,96
englès,95
mfa,94
angabò,94
mfi,94
akuma,94
maan,93
mvòṅ,93
dzia,93
mfyè,92
ngab,91
nen,90
awola,90
ana,90
bëfada,89
miayëm,88
mimfufub,88
ngòl,88
biayi,88
avëë,88
dzaban,87
hi,87
ayëgëlë,87
kalara,87
ayòṅ,87
dzo,87
bëfarisea,86
wòṅ,86
benglès,86
mian,86
tòbò,86
bëtoa,86
boan,85
ndzoe,85
klos,85
mie,85
atarigi,85
akòbò,85
bibug,84
moses,84
nyia,84
akode,83
angakë,83
bëbe,83
israel,82
bisëb,82
fada,82
angayen,81
olun,81
bëbò,81
bandzëki,81
ndëm,79
ben,78
angavë,78
minsisim,77
kòb,76
fam,76
simun,75
we,75
nnomo,75
dëda,75
abraham,75
waban,75
ayean,74
bëkalara,74
ntye,74
mòngò,74
ele,74
galilea,74
awog,74
miabò,73
ayëm,73
ngogëlan,72
bëbëlë,72
enguṅ,72
ngòn,72
nyòlò,72
mazu,71
mayëm,71
yënë,71
manyaṅ,71
mal,71
afub,70
bëprofèt,70
bibuma,70
babò,70
biayëm,70
mëwog,70
bikoan,70
satan,69
mëwom,69
mamen,69
mëkyëbë,68
mvòm,68
bininga,68
mbo,68
dugan,67
angalom,67
bënen,67
engabë,67
mfuban,67
bëziṅ,66
asye,66
doe,66
sabbat,66
bibëlë,66
mëlò,65
mibò,65
mvua,65
bazu,65
babënyaṅ,64
layi,63
adiṅ,63
profèt,63
miaban,63
bëngavë,63
mbaṅëla,63
wu,63
bie,63
osusua,62
lala,62
kòbò,61
wayn,61
david,61
alu,61
dzal,61
mbè,61
daban,61
angakui,60
ati,60
taṅ,60
maria,60
maban,60
bëngayen,60
bëkëlë,59
mibëlë,59
ongabë,59
abim,59
ngaṅ,59
amala,59
angadzo,58
mimbog,58
olò,58
nnom,58
nòṅ,57
ṅyëgëlë,57
pilatus,57
dibi,57
angasò,56
bënyia,56
ayëmë,56
nkol,56
nguma,56
bësaṅa,56
mkpamaṅ,56
mëyòṅ,56
biyòṅ,56
mbòn,56
mindzug,56
ngëëṅ,55
atòbò,55
badzo,55
abëṅ,55
bëmana,55
abende,55
mëngabë,55
yakob,55
ayëbë,54
amen,54
etun,54
nyian,54
akad,54
abye,54
mandzëki,53
anyian,53
bëkë,53
kidi,53
nkana,53
anòṅ,53
biyie,53
mëbëlë,52
eyie,52
ziṅan,52
ngam,52
afan,52
wamen,52
mëtunëṅa,52
bitoa,51
mintomba,51
mabò,51
wabò,51
mëdugan,51
abum,51
bëwu,51
mimbu,51
etere,50
ngaga,50
bodo,50
aloe,50
asili,50
ntud,49
eyëgan,49
ntomba,49
okala,49
bëngakë,49
efaè,49
mëngayen,49
baloe,48
ntèd,48
mbòòlan,48
ve,48
ngòg,48
bëlë,48
asoe,48
adi,48
bëmbaṅëla,47
elig,47
bòngò,47
bèè,47
bakuda,47
atëlë,47
otoa,47
nkod,46
mëmana,46
wadzo,46
bëngayi,46
mayen,46
oyò,46
mbim,46
oyab,46
mëdzo,46
ayënë,46
akòbògò,46
misë,46
masëki,46
aku,45
mëbò,45
azombo,45
mana,45
alug,45
minkunda,45
bëkon,45
abëgë,45
mvit,45
fili,45
ahë,45
bëtara,45
angayi,44
bëzamba,44
kuan,44
makòbò,44
ku,44
bayëm,44
tsig,44
minkòbò,43
makë,43
mibè,43
mvulna,43
mëtari,43
abòò,43
loe,43
yudea,43
mvia,43
bisog,43
osòn,43
bëwoe,42
zie,42
bëdzoe,42
avëṅan,42
watyan,42
bësye,42
zëzë,42
asòò,41
dzoge,41
awogo,41
mëmos,40
ngal,40
bayen,40
akòg,40
obëlë,40
madzo,40
minkukuma,39
yasò,39
miama,39
endzò,39
evundu,39
obò,39
biaban,39
kogëlan,39
bëfë,39
sili,39
baban,39
mvòt,39
alod,39
alom,39
evovoe,38
minnal,38
yudas,38
angawog,38
fin,38
profet,38
esamba,38
mëyòg,38
bidzo,38
angakòbò,38
madzaṅ,37
mayean,37
tsog,37
ebëlë,37
matil,37
miṅyian,37
ekoan,37
ndimba,37
bëyëbë,37
wayean,37
herodes,37
anganòṅ,37
efunga,36
mëlè,36
manyòṅ,36
mbog,36
bibò,36
bëngakam,36
paska,36
mëtoa,36
adaṅ,36
ṅnyie,36
eban,36
dulu,36
mingabë,35
grek,35
akodo,35
toban,35
bëngadzo,35
miasëki,35
angaloe,35
kòs,35
bëbi,35
mimbëmbë,35
bëngasò,35
mëbè,35
kaṅan,35
mëmvende,35
mbil,35
okoba,34
bëngabò,34
lëdë,34
bayean,34
eboe,34
dzobo,34
angënë,34
atëbë,34
barnabas,34
akab,34
owe,34
mëlunga,34
esoa,34
du,34
mitoa,34
yosef,33
makogëlan,33
bëbëgë,33
mënyii,33
abi,33
biè,33
tòzin,33
ṅyëman,33
ndzug,33
dis,33
mëbobëla,33
mawog,33
angabi,33
angatele,33
bayëbë,33
atele,33
angakodo,33
bëngamana,32
tòṅ,32
miandzëki,32
kole,32
ntëgan,32
bingabë,32
bëngawog,32
mu,32
akud,32
ebamba,32
bësëm,32
fulu,32
mintsogan,32
bëlò,32
lod,32
angamana,32
tëbë,32
angadugan,31
angakad,31
bëbòò,31
saaṅ,31
mimfaṅ,31
bëngazu,31
yëbë,31
wayëm,31
mama,31
bëte,31
bëyëmë,31
bifaè,31
esëki,31
egipten,31
nyiṅ,31
dzan,31
nkoṅ,31
nyamëla,30
basili,30
nazaret,30
yaan,30
lom,30
biyëṅ,30
afu,30
nkòt,29
bëprofet,29
elias,29
timoteus,29
biayean,29
bënòṅò,29
badugan,29
anòṅò,29
toya,29
masedonia,29
ṅyègè,28
emana,28
abede,28
komëzan,28
nkode,28
saulus,28
bita,28
dzëṅ,28
amvoe,28
mësuṅ,28
mindindiṅ,28
bawog,28
ndindiṅ,28
kodogo,28
mvol,28
mëngawog,28
bëdzoo,27
mintèd,27
bavë,27
mala,27
masò,27
biama,27
okë,27
miè,27
efas,27
bòban,27
lèè,27
roma,27
layean,26
mingawog,26
bësòò,26
azaag,26
ayalan,26
angabende,26
fes,26
laṅ,26
filip,26
biwòman,26
oyëm,26
bëtisòn,26
baala,26
